19-08-2019:08:55:03,373 INFO [test_2.py:21] 连接成功
19-08-2019:09:13:42,306 INFO [test_2.py:21] 连接成功
19-08-2019:09:13:42,414 INFO [test_2.py:21] 连接成功
19-08-2019:09:54:02,759 INFO [test_2.py:21] 连接成功
19-08-2019:09:54:05,671 INFO [test_2.py:28] 账号 
19-08-2019:09:54:12,462 INFO [test_2.py:32] 密码 
19-08-2019:09:54:12,824 INFO [test_2.py:21] 连接成功
19-08-2019:09:54:18,367 INFO [test_2.py:28] 账号 
19-08-2019:09:54:25,211 INFO [test_2.py:32] 密码12345678
19-08-2019:09:54:25,301 INFO [test_2.py:21] 连接成功
19-08-2019:09:54:30,925 INFO [test_2.py:28] 账号213456
19-08-2019:09:54:37,843 INFO [test_2.py:32] 密码 
19-08-2019:09:54:37,994 INFO [test_2.py:21] 连接成功
19-08-2019:09:54:43,714 INFO [test_2.py:28] 账号123456
19-08-2019:09:54:50,548 INFO [test_2.py:32] 密码fds6576
19-08-2019:09:54:50,701 INFO [test_2.py:21] 连接成功
19-08-2019:09:54:56,300 INFO [test_2.py:28] 账号13319264301
19-08-2019:09:55:03,191 INFO [test_2.py:32] 密码345432643643
19-08-2019:09:55:03,379 INFO [test_2.py:21] 连接成功
19-08-2019:09:55:09,97 INFO [test_2.py:28] 账号13319264302
19-08-2019:09:55:15,957 INFO [test_2.py:32] 密码g123456
19-08-2019:09:55:16,147 INFO [test_2.py:21] 连接成功
19-08-2019:09:55:22,83 INFO [test_2.py:28] 账号13319264301
19-08-2019:09:55:28,878 INFO [test_2.py:32] 密码g123456
19-08-2019:10:00:41,446 INFO [test_2.py:21] 连接成功
19-08-2019:10:00:44,287 INFO [test_2.py:28] 账号 
19-08-2019:10:00:50,944 INFO [test_2.py:32] 密码 
19-08-2019:10:00:51,275 INFO [test_2.py:21] 连接成功
19-08-2019:10:00:56,954 INFO [test_2.py:28] 账号 
19-08-2019:10:01:03,564 INFO [test_2.py:32] 密码12345678
19-08-2019:10:01:03,669 INFO [test_2.py:21] 连接成功
19-08-2019:10:01:09,266 INFO [test_2.py:28] 账号213456
19-08-2019:10:01:15,961 INFO [test_2.py:32] 密码 
19-08-2019:10:01:16,80 INFO [test_2.py:21] 连接成功
19-08-2019:12:42:22,916 INFO [test_2.py:21] 连接成功
19-08-2019:12:42:25,745 INFO [test_2.py:28] 账号 
19-08-2019:12:42:32,432 INFO [test_2.py:32] 密码 
19-08-2019:12:42:48,592 INFO [test_2.py:40] 点击成功
19-08-2019:12:42:48,602 INFO [test_2.py:21] 连接成功
19-08-2019:12:42:51,338 INFO [test_2.py:28] 账号 
19-08-2019:12:42:58,81 INFO [test_2.py:32] 密码12345678
19-08-2019:12:43:14,495 INFO [test_2.py:40] 点击成功
19-08-2019:12:43:14,498 INFO [test_2.py:21] 连接成功
19-08-2019:12:43:17,100 INFO [test_2.py:28] 账号213456
19-08-2019:12:43:23,975 INFO [test_2.py:32] 密码 
19-08-2019:12:43:40,546 INFO [test_2.py:40] 点击成功
19-08-2019:12:43:40,552 INFO [test_2.py:21] 连接成功
19-08-2019:12:43:43,343 INFO [test_2.py:28] 账号123456
19-08-2019:12:43:50,3 INFO [test_2.py:32] 密码fds6576
19-08-2019:12:44:03,757 INFO [test_2.py:40] 点击成功
19-08-2019:12:44:03,760 INFO [test_2.py:21] 连接成功
19-08-2019:12:44:06,441 INFO [test_2.py:28] 账号13319264301
19-08-2019:12:44:13,206 INFO [test_2.py:32] 密码345432643643
19-08-2019:12:44:29,925 INFO [test_2.py:40] 点击成功
19-08-2019:12:44:29,938 INFO [test_2.py:21] 连接成功
19-08-2019:12:44:32,726 INFO [test_2.py:28] 账号13319264302
19-08-2019:12:44:39,550 INFO [test_2.py:32] 密码g123456
19-08-2019:12:44:56,66 INFO [test_2.py:40] 点击成功
19-08-2019:12:44:56,70 INFO [test_2.py:21] 连接成功
19-08-2019:12:44:58,885 INFO [test_2.py:28] 账号13319264301
19-08-2019:12:45:05,738 INFO [test_2.py:32] 密码g123456
19-08-2019:12:45:22,404 INFO [test_2.py:40] 点击成功
19-08-2019:14:54:29,733 INFO [test_2.py:21] 连接成功
19-08-2019:14:54:32,446 INFO [test_2.py:28] 账号 
19-08-2019:14:54:39,85 INFO [test_2.py:32] 密码 
19-08-2019:14:54:39,359 INFO [test_2.py:21] 连接成功
19-08-2019:14:54:44,879 INFO [test_2.py:28] 账号 
19-08-2019:14:54:51,557 INFO [test_2.py:32] 密码12345678
19-08-2019:14:54:51,664 INFO [test_2.py:21] 连接成功
19-08-2019:14:54:57,221 INFO [test_2.py:28] 账号213456
19-08-2019:14:55:03,985 INFO [test_2.py:32] 密码 
19-08-2019:14:55:04,112 INFO [test_2.py:21] 连接成功
19-08-2019:14:55:09,643 INFO [test_2.py:28] 账号123456
19-08-2019:14:55:16,395 INFO [test_2.py:32] 密码fds6576
19-08-2019:14:55:16,511 INFO [test_2.py:21] 连接成功
19-08-2019:14:55:22,180 INFO [test_2.py:28] 账号13319264301
19-08-2019:14:55:29,33 INFO [test_2.py:32] 密码345432643643
19-08-2019:14:55:29,159 INFO [test_2.py:21] 连接成功
19-08-2019:14:55:34,906 INFO [test_2.py:28] 账号13319264302
19-08-2019:14:55:41,775 INFO [test_2.py:32] 密码g123456
19-08-2019:14:55:41,909 INFO [test_2.py:21] 连接成功
19-08-2019:14:55:47,607 INFO [test_2.py:28] 账号13319264301
19-08-2019:14:55:54,594 INFO [test_2.py:32] 密码g123456
19-08-2019:14:57:05,967 INFO [test_2.py:21] 连接成功
19-08-2019:14:57:08,717 INFO [test_2.py:28] 账号 
19-08-2019:14:57:15,408 INFO [test_2.py:32] 密码 
19-08-2019:14:57:15,570 INFO [test_2.py:21] 连接成功
19-08-2019:14:57:21,80 INFO [test_2.py:28] 账号 
19-08-2019:15:00:33,22 INFO [test_2.py:21] 连接成功
19-08-2019:15:00:35,697 INFO [test_2.py:28] 账号 
19-08-2019:15:00:42,412 INFO [test_2.py:32] 密码 
19-08-2019:15:00:42,534 INFO [test_2.py:21] 连接成功
19-08-2019:15:00:48,46 INFO [test_2.py:28] 账号 
19-08-2019:15:01:37,32 INFO [test_2.py:21] 连接成功
19-08-2019:15:01:39,724 INFO [test_2.py:28] 账号 
19-08-2019:15:01:46,386 INFO [test_2.py:32] 密码 
19-08-2019:15:01:46,508 INFO [test_2.py:21] 连接成功
19-08-2019:15:01:52,50 INFO [test_2.py:28] 账号 
19-08-2019:15:01:58,771 INFO [test_2.py:32] 密码12345678
19-08-2019:15:01:58,882 INFO [test_2.py:21] 连接成功
19-08-2019:18:38:26,579 INFO [test_1.py:23] 连接成功
19-08-2019:18:38:37,27 INFO [test_1.py:29] 账号输入成功
19-08-2019:18:38:47,996 INFO [test_1.py:34] 密码输入正确
19-08-2019:18:38:59,318 INFO [test_1.py:46] 登录成功之后向上滑动成功
19-08-2019:18:39:01,632 INFO [test_1.py:49] 登录成功之后向下滑动成功
19-08-2019:18:39:06,604 INFO [test_1.py:63] 滑动成功
19-08-2019:18:39:10,199 INFO [test_1.py:92] 滑动成功
19-08-2019:18:40:00,140 INFO [test_2.py:21] 连接成功
19-08-2019:18:40:02,800 INFO [test_2.py:28] 账号 
19-08-2019:18:40:09,629 INFO [test_2.py:32] 密码 
19-08-2019:18:40:25,840 INFO [test_2.py:40] 点击成功
19-08-2019:18:40:25,850 INFO [test_2.py:21] 连接成功
19-08-2019:18:40:28,475 INFO [test_2.py:28] 账号 
19-08-2019:18:40:35,241 INFO [test_2.py:32] 密码12345678
19-08-2019:18:40:51,635 INFO [test_2.py:40] 点击成功
19-08-2019:18:40:51,638 INFO [test_2.py:21] 连接成功
19-08-2019:18:40:54,225 INFO [test_2.py:28] 账号213456
19-08-2019:18:41:01,237 INFO [test_2.py:32] 密码 
19-08-2019:18:41:17,842 INFO [test_2.py:40] 点击成功
19-08-2019:18:41:17,859 INFO [test_2.py:21] 连接成功
19-08-2019:18:41:20,570 INFO [test_2.py:28] 账号123456
19-08-2019:18:41:27,299 INFO [test_2.py:32] 密码fds6576
19-08-2019:18:41:40,848 INFO [test_2.py:40] 点击成功
19-08-2019:18:41:40,854 INFO [test_2.py:21] 连接成功
19-08-2019:18:41:43,614 INFO [test_2.py:28] 账号13319264301
19-08-2019:18:41:50,433 INFO [test_2.py:32] 密码345432643643
19-08-2019:18:42:07,52 INFO [test_2.py:40] 点击成功
19-08-2019:18:42:07,55 INFO [test_2.py:21] 连接成功
19-08-2019:18:42:09,854 INFO [test_2.py:28] 账号13319264302
19-08-2019:18:42:16,625 INFO [test_2.py:32] 密码g123456
19-08-2019:18:42:33,362 INFO [test_2.py:40] 点击成功
19-08-2019:18:42:33,368 INFO [test_2.py:21] 连接成功
19-08-2019:18:42:36,262 INFO [test_2.py:28] 账号13319264301
19-08-2019:18:42:43,39 INFO [test_2.py:32] 密码g123456
19-08-2019:18:42:59,560 INFO [test_2.py:40] 点击成功
19-08-2019:19:04:54,528 INFO [test_1.py:23] 连接成功
19-08-2019:19:05:06,83 INFO [test_1.py:29] 账号输入成功
19-08-2019:19:05:17,122 INFO [test_1.py:34] 密码输入正确
19-08-2019:19:05:28,355 INFO [test_1.py:46] 登录成功之后向上滑动成功
19-08-2019:19:05:30,596 INFO [test_1.py:49] 登录成功之后向下滑动成功
19-08-2019:19:05:32,446 INFO [test_1.py:54] 跳转成功
19-08-2019:19:05:40,296 INFO [test_1.py:63] 滑动成功
19-08-2019:19:05:41,360 INFO [test_1.py:69] 成功进入编辑资料页面
19-08-2019:19:05:42,219 INFO [test_1.py:75] 更换相册
19-08-2019:19:05:56,448 INFO [test_1.py:92] 滑动成功
19-08-2019:19:08:27,631 INFO [test_1.py:23] 连接成功
19-08-2019:19:08:38,536 INFO [test_1.py:29] 账号输入成功
19-08-2019:19:08:49,413 INFO [test_1.py:34] 密码输入正确
19-08-2019:19:09:00,814 INFO [test_1.py:46] 登录成功之后向上滑动成功
19-08-2019:19:09:03,161 INFO [test_1.py:49] 登录成功之后向下滑动成功
19-08-2019:19:09:08,273 INFO [test_1.py:63] 滑动成功
19-08-2019:19:09:22,632 INFO [test_1.py:93] 滑动成功
19-08-2019:19:10:08,979 INFO [test_1.py:23] 连接成功
19-08-2019:19:10:19,657 INFO [test_1.py:29] 账号输入成功
19-08-2019:19:10:30,653 INFO [test_1.py:34] 密码输入正确
19-08-2019:19:10:39,121 INFO [test_1.py:39] 成功登录
19-08-2019:19:10:46,610 INFO [test_1.py:46] 登录成功之后向上滑动成功
19-08-2019:19:10:48,863 INFO [test_1.py:49] 登录成功之后向下滑动成功
19-08-2019:19:10:49,985 INFO [test_1.py:54] 跳转成功
19-08-2019:19:10:57,822 INFO [test_1.py:63] 滑动成功
19-08-2019:19:10:58,902 INFO [test_1.py:69] 成功进入编辑资料页面
19-08-2019:19:10:59,793 INFO [test_1.py:75] 更换相册
19-08-2019:19:11:17,664 INFO [test_1.py:93] 滑动成功
19-08-2019:19:12:29,748 INFO [test_1.py:23] 连接成功
19-08-2019:19:12:40,707 INFO [test_1.py:29] 账号输入成功
19-08-2019:19:12:51,637 INFO [test_1.py:34] 密码输入正确
19-08-2019:19:13:00,83 INFO [test_1.py:39] 成功登录
19-08-2019:19:13:07,606 INFO [test_1.py:46] 登录成功之后向上滑动成功
19-08-2019:19:13:09,888 INFO [test_1.py:49] 登录成功之后向下滑动成功
19-08-2019:19:13:11,41 INFO [test_1.py:54] 跳转成功
19-08-2019:19:13:18,813 INFO [test_1.py:63] 滑动成功
19-08-2019:19:13:19,883 INFO [test_1.py:69] 成功进入编辑资料页面
19-08-2019:19:13:20,727 INFO [test_1.py:75] 更换相册
19-08-2019:19:13:44,510 INFO [test_1.py:87] 返回编辑页面成功
19-08-2019:19:13:51,913 INFO [test_1.py:93] 滑动成功
19-08-2019:19:13:54,149 INFO [test_1.py:100] 点击设置跳转界面成功
19-08-2019:19:14:06,901 INFO [test_1.py:110] 退出成功
19-08-2019:19:38:03,181 INFO [test_3.py:21] 成功连接APP
19-08-2019:19:38:07,851 INFO [test_3.py:52] 滑动成功
19-08-2019:19:40:11,962 INFO [test_3.py:21] 成功连接APP
19-08-2019:19:40:16,636 INFO [test_3.py:52] 滑动成功
19-08-2019:19:42:53,354 INFO [test_3.py:21] 成功连接APP
19-08-2019:19:43:05,969 INFO [test_3.py:27] 账号输入成功
19-08-2019:19:43:17,457 INFO [test_3.py:32] 密码输入正确
19-08-2019:19:43:27,20 INFO [test_3.py:37] 成功登录
19-08-2019:19:43:34,400 INFO [test_3.py:43] 跳转成功
19-08-2019:19:43:42,128 INFO [test_3.py:52] 滑动成功
19-08-2019:19:43:43,236 INFO [test_3.py:58] 成功进入编辑资料页面
19-08-2019:20:27:30,424 INFO [test_3.py:21] 成功连接APP
19-08-2019:20:28:00,753 INFO [test_3.py:21] 成功连接APP
19-08-2019:20:28:13,917 INFO [test_3.py:27] 账号输入成功
19-08-2019:20:28:24,958 INFO [test_3.py:32] 密码输入正确
19-08-2019:20:28:35,652 INFO [test_3.py:43] 跳转成功
19-08-2019:20:28:39,706 INFO [test_3.py:58] 成功进入编辑资料页面
19-08-2019:20:29:26,899 INFO [test_3.py:21] 成功连接APP
19-08-2019:20:29:39,823 INFO [test_3.py:27] 账号输入成功
19-08-2019:20:29:50,885 INFO [test_3.py:32] 密码输入正确
19-08-2019:20:30:00,433 INFO [test_3.py:37] 成功登录
19-08-2019:20:30:07,512 INFO [test_3.py:43] 跳转成功
19-08-2019:20:30:11,708 INFO [test_3.py:58] 成功进入编辑资料页面
19-08-2019:20:41:39,497 INFO [test_3.py:21] 成功连接APP
19-08-2019:20:41:52,95 INFO [test_3.py:27] 账号输入成功
19-08-2019:20:42:02,969 INFO [test_3.py:32] 密码输入正确
19-08-2019:20:42:12,141 INFO [test_3.py:37] 成功登录
19-08-2019:20:42:19,459 INFO [test_3.py:43] 跳转成功
19-08-2019:20:42:23,679 INFO [test_3.py:51] 成功进入编辑资料页面
19-08-2019:20:42:28,319 INFO [test_3.py:65] 滑动成功
19-08-2019:20:46:09,456 INFO [test_3.py:21] 成功连接APP
19-08-2019:20:47:12,541 INFO [test_3.py:21] 成功连接APP
19-08-2019:20:47:25,93 INFO [test_3.py:27] 账号输入成功
19-08-2019:20:47:36,82 INFO [test_3.py:32] 密码输入正确
19-08-2019:20:47:45,556 INFO [test_3.py:37] 成功登录
19-08-2019:20:47:52,880 INFO [test_3.py:43] 跳转成功
19-08-2019:20:47:57,77 INFO [test_3.py:51] 成功进入编辑资料页面
19-08-2019:20:48:01,773 INFO [test_3.py:65] 滑动成功
19-08-2019:20:51:06,87 INFO [test_3.py:43] 跳转成功
19-08-2019:20:51:10,86 INFO [test_3.py:51] 成功进入编辑资料页面
19-08-2019:20:51:14,732 INFO [test_3.py:65] 滑动成功
19-08-2019:20:53:47,6 INFO [test_3.py:43] 跳转成功
19-08-2019:20:53:51,439 INFO [test_3.py:51] 成功进入编辑资料页面
19-08-2019:20:54:05,803 INFO [test_3.py:58] 删除照片成功
19-08-2019:20:54:10,686 INFO [test_3.py:65] 滑动成功
19-08-2019:20:54:51,447 INFO [test_3.py:43] 跳转成功
19-08-2019:20:54:55,455 INFO [test_3.py:51] 成功进入编辑资料页面
19-08-2019:20:55:09,358 INFO [test_3.py:58] 删除照片成功
19-08-2019:20:55:11,764 INFO [test_3.py:63] 滑动成功
19-08-2019:20:55:14,974 INFO [test_3.py:69] 点击设置跳转界面成功
19-08-2019:20:55:27,728 INFO [test_3.py:79] 退出成功
19-08-2019:21:01:52,482 INFO [test_4.py:23] 成功连接APP
19-08-2019:21:02:04,958 INFO [test_4.py:29] 账号输入成功
19-08-2019:21:02:15,990 INFO [test_4.py:34] 密码输入正确
19-08-2019:21:02:24,376 INFO [test_4.py:39] 成功登录
19-08-2019:21:02:30,233 INFO [test_4.py:45] 跳转成功
19-08-2019:21:02:34,340 INFO [test_4.py:53] 成功进入编辑资料页面
19-08-2019:21:22:16,216 INFO [test_4.py:23] 成功连接APP
19-08-2019:21:22:28,787 INFO [test_4.py:29] 账号输入成功
19-08-2019:21:22:39,660 INFO [test_4.py:34] 密码输入正确
19-08-2019:21:22:49,68 INFO [test_4.py:39] 成功登录
19-08-2019:21:22:56,293 INFO [test_4.py:45] 跳转成功
19-08-2019:21:23:00,516 INFO [test_4.py:53] 成功进入编辑资料页面
19-08-2019:21:23:34,193 INFO [test_4.py:68] 添加照片成功
19-08-2019:21:23:36,897 INFO [test_4.py:75] 滑动成功
19-08-2019:21:23:40,95 INFO [test_4.py:81] 点击设置跳转界面成功
19-08-2019:21:23:52,880 INFO [test_4.py:91] 退出成功
19-08-2019:21:27:13,385 INFO [test_4.py:23] 成功连接APP
19-08-2019:21:27:26,60 INFO [test_4.py:29] 账号输入成功
19-08-2019:21:27:36,894 INFO [test_4.py:34] 密码输入正确
19-08-2019:21:27:46,262 INFO [test_4.py:39] 成功登录
19-08-2019:21:27:53,391 INFO [test_4.py:45] 跳转成功
19-08-2019:21:27:57,536 INFO [test_4.py:53] 成功进入编辑资料页面
19-08-2019:21:28:30,597 INFO [test_4.py:68] 添加照片成功
19-08-2019:21:28:33,171 INFO [test_4.py:75] 滑动成功
19-08-2019:21:28:36,432 INFO [test_4.py:81] 点击设置跳转界面成功
19-08-2019:21:28:49,216 INFO [test_4.py:91] 退出成功
19-08-2019:21:29:48,472 INFO [test_4.py:23] 成功连接APP
19-08-2019:21:29:49,836 INFO [test_4.py:45] 跳转成功
19-08-2019:21:29:53,934 INFO [test_4.py:53] 成功进入编辑资料页面
19-08-2019:21:30:59,873 INFO [test_4.py:23] 成功连接APP
19-08-2019:21:31:12,319 INFO [test_4.py:29] 账号输入成功
19-08-2019:21:31:23,511 INFO [test_4.py:34] 密码输入正确
19-08-2019:21:31:32,831 INFO [test_4.py:39] 成功登录
19-08-2019:21:31:39,931 INFO [test_4.py:45] 跳转成功
19-08-2019:21:31:44,325 INFO [test_4.py:53] 成功进入编辑资料页面
19-08-2019:21:32:17,511 INFO [test_4.py:68] 添加照片成功
19-08-2019:21:32:20,151 INFO [test_4.py:75] 滑动成功
19-08-2019:21:32:23,438 INFO [test_4.py:81] 点击设置跳转界面成功
19-08-2019:21:32:36,346 INFO [test_4.py:91] 退出成功
